Sold Price,Status,Address,List Date,Sold Date,DOM,Location,Total number of bedrooms,Total number of Baths,TotFl ,The year in which it was build,Age,FrontageFt,Depth,Total number of Kitchens,TypeDwel ,Style of Home
"$401,000",S,6228 THORNE AVENUE,09-01-2010,9/13/2010,12,Burnaby South,2,1,"1,500",1951,59,50,269,1,House/Single Family,2 Storey
"$410,000",S,8030 WILLARD STREET,2/24/2011,3/31/2011,35,Burnaby South,2,1,"1,088",1954,57,66,126,1,House/Single Family,Rancher/Bungalow
"$413,000",S,8013 16TH AVENUE,3/17/2010,3/17/2010,0,Burnaby East,0,1,845,1959,51,33,137,1,House/Single Family,1 Storey
"$419,000",S,7657 DAVIES STREET,1/13/2011,1/15/2011,2,Burnaby East,3,1,"1,838",1957,54,33,103,1,House/Single Family,Rancher/Bungalow w/Bsmt.
"$420,000",S,4626 CANADA WAY,6/17/2009,1/14/2010,211,Burnaby South,2,1,"1,500",1959,50,66,106,1,House/Single Family,Rancher/Bungalow
"$425,000",S,7520 6TH STREET,6/21/2010,9/13/2010,84,Burnaby East,0,1,"1,780",1950,60,60,100,0,House/Single Family,Rancher/Bungalow w/Bsmt.
"$430,000",S,6502 MARINE DRIVE,05-07-2010,5/28/2010,21,Burnaby South,1,1,"1,000",9999,999,72.1,236.5,1,House/Single Family,1 Storey
"$435,000",S,5068 MARINE DRIVE,02-01-2010,10-06-2010,247,Burnaby South,2,1,"1,000",1930,80,65,127,1,House/Single Family,2 Storey
"$445,000",S,6007 BYRNE ROAD,05-12-2010,12/31/2010,233,Burnaby South,4,2,"1,660",9999,999,66,131,1,House/Single Family,2 Storey
"$450,000",S,5924 10TH AVENUE,5/20/2011,6/25/2011,36,Burnaby South,4,3,"2,500",1948,63,80,128.4,2,House/Single Family,2 Storey
"$465,000",S,4480 PENDER STREET,06-12-2010,9/17/2010,97,Burnaby North,3,2,"1,480",9999,999,33,122,2,House/Single Family,Basement Entry
"$468,000",S,5924 10TH AVENUE,2/22/2011,04-03-2011,40,Burnaby South,4,3,"2,600",1948,63,80,128,2,House/Single Family,2 Storey
"$470,000",S,7283 12TH AVENUE,10/13/2010,10/22/2010,9,Burnaby East,2,1,700,9999,999,40,157,1,House/Single Family,1 Storey
"$475,000",S,1432 DOUGLAS ROAD,6/17/2010,8/26/2010,70,Burnaby North,2,1,800,9999,999,15.24,,1,House/Single Family,1 Storey
"$475,000",S,7664 16TH AVENUE,6/28/2010,8/30/2010,63,Burnaby East,2,2,"1,250",1957,53,68,86,1,House/Single Family,Rancher/Bungalow
"$475,000",S,8165 12TH AVENUE,4/14/2010,05-02-2010,18,Burnaby East,3,1,"1,611",1960,50,32.3,146,1,House/Single Family,Rancher/Bungalow w/Bsmt.
"$476,500",S,7643 DAVIES STREET,05-12-2011,05-12-2011,0,Burnaby East,3,1,"1,115",9999,999,33,101,1,House/Single Family,1 Storey
"$478,000",S,6720 CANADA WAY,11/14/2010,11/22/2010,8,Burnaby South,1,1,"1,800",9999,999,,,1,House/Single Family,2 Storey w/Bsmt.
"$478,000",S,6445 ARBROATH STREET,04-10-2014,5/14/2014,34,Burnaby South,3,3,"2,488",1920,94,33,80,1,House/Single Family,2 Storey
"$480,000",S,5983 MARINE DRIVE,2/14/2011,2/23/2011,9,Burnaby South,6,2,"1,800",9999,999,37,127,1,House/Single Family,2 Storey
"$485,000",S,7757 CANADA WAY,6/22/2010,07-06-2010,14,Burnaby East,4,2,"1,850",1949,61,55,110,2,House/Single Family,"2 Storey, Basement Entry"
"$485,000",S,7303 12TH AVENUE,01-08-2010,02-01-2010,24,Burnaby East,3,1,"1,776",9999,999,40,157,1,House/Single Family,1 Storey
"$490,000",S,3520 DOUGLAS ROAD,10/13/2013,11-12-2013,30,Burnaby North,3,3,"1,920",1986,27,30.3,134.1,1,House/Single Family,2 Storey w/Bsmt.
"$492,000",S,3831 SANDELL STREET,05-03-2010,07-12-2010,70,Burnaby South,2,1,"1,722",1901,109,35,100,2,House/Single Family,2 Storey
"$492,000",S,4857 GREENTREE PLACE,8/17/2010,9/29/2010,43,Burnaby South,3,3,"1,650",1974,36,33,91,1,House/Single Family,2 Storey w/Bsmt.
"$495,000",S,4022 DOMINION STREET,05-06-2010,7/20/2010,75,Burnaby North,4,1,"1,822",9999,999,33,122,1,House/Single Family,3 Storey
"$500,000",S,7393 CANADA WAY,4/18/2011,4/24/2011,6,Burnaby East,6,2,"2,628",9999,999,50,108,3,House/Single Family,Other
"$500,000",S,4958 PORTLAND STREET,1/25/2011,3/25/2011,59,Burnaby South,3,1,"2,932",1962,49,198,.81 ACR,1,House/Single Family,Rancher/Bungalow w/Bsmt.
"$500,000",S,7671 CANADA WAY,2/25/2010,3/23/2010,26,Burnaby East,4,2,"2,000",1947,63,50,110,2,House/Single Family,2 Storey
"$500,000",S,6450 RUMBLE STREET,3/19/2010,8/30/2010,164,Burnaby South,3,1,"1,620",9999,999,50,120,1,House/Single Family,2 Storey
"$500,000",S,98 FELL AVENUE,10-05-2010,12/22/2010,78,Burnaby North,2,2,935,1955,55,33,122,1,House/Single Family,2 Storey
"$500,000",S,7697 CANADA WAY,12-05-2011,1/27/2012,53,Burnaby East,2,1,"1,840",1914,97,33,110,1,House/Single Family,"1 Storey, Rancher/Bungalow w/Bsmt."
"$500,000",S,5991 ARBROATH STREET,5/13/2014,6/24/2014,42,Burnaby South,2,1,"1,763",9999,999,50,124,1,House/Single Family,Rancher/Bungalow w/Bsmt.
"$502,000",S,7916 17TH AVENUE,5/30/2010,09-08-2010,101,Burnaby East,4,1,"1,600",1949,61,53,111,1,House/Single Family,Rancher/Bungalow w/Bsmt.
"$505,000",S,5122 CARSON STREET,10-01-2010,11-09-2010,39,Burnaby South,3,2,"1,570",1920,90,33,120.9,1,House/Single Family,2 Storey
"$506,200",S,7643 10TH AVENUE,11/26/2010,1/14/2011,49,Burnaby East,5,2,"2,100",1955,55,54,125,2,House/Single Family,Other
"$506,900",S,8433 10TH AVENUE,10/28/2010,12-03-2010,36,Burnaby East,5,2,"2,240",1956,54,51,135,2,House/Single Family,Other
"$508,000",S,1040 DOUGLAS ROAD,02-10-2011,2/27/2011,17,Burnaby North,4,2,"1,725",1924,87,129,103,2,House/Single Family,Rancher/Bungalow w/Bsmt.
"$508,000",S,5039 MARINE DRIVE,1/18/2010,02-08-2010,21,Burnaby South,4,1,"2,000",1968,42,62,128,1,House/Single Family,Rancher/Bungalow w/Bsmt.
"$510,000",S,4446 PENDER STREET,6/14/2010,6/22/2010,8,Burnaby North,2,1,982,9999,999,33,,1,House/Single Family,1 Storey
"$510,000",S,7626 CANADA WAY,09-06-2013,10/19/2013,43,Burnaby East,4,1,"1,900",9999,999,50,132,1,House/Single Family,2 Storey w/Bsmt.
"$512,000",S,7583 CANADA WAY,1/20/2010,06-10-2010,141,Burnaby East,4,2,"1,800",1949,61,46,107,2,House/Single Family,"2 Storey, Basement Entry"
"$512,000",S,7867 10TH AVENUE,10/15/2012,11-02-2012,18,Burnaby East,2,1,"1,516",9999,999,49.5,140.75,1,House/Single Family,2 Storey
"$514,000",S,7784 DAVIES STREET,4/29/2010,06-05-2010,37,Burnaby East,4,2,"1,800",1957,53,33,110,1,House/Single Family,Rancher/Bungalow
"$515,000",S,3733 PARKER STREET,05-02-2011,06-08-2011,37,Burnaby North,3,2,"1,544",9999,999,50,67.3,1,House/Single Family,2 Storey
"$515,000",S,7524 4TH STREET,10-07-2010,10/15/2010,8,Burnaby East,4,2,"1,860",1945,65,,,2,House/Single Family,2 Storey
"$516,000",S,4860 BOUNDARY ROAD,3/19/2010,3/31/2010,12,Burnaby South,4,2,"1,600",1948,62,33,129,2,House/Single Family,Rancher/Bungalow w/Bsmt.
"$518,000",S,5150 BOUNDARY ROAD,05-12-2010,5/17/2010,5,Burnaby South,2,1,"1,944",1957,53,59,88,1,House/Single Family,Rancher/Bungalow w/Bsmt.
"$520,000",S,4936 THORNWOOD PLACE,12-12-2011,01-09-2012,28,Burnaby South,3,3,"1,640",1974,37,31,90,1,House/Single Family,2 Storey w/Bsmt.
"$520,000",S,4448 PENDER STREET,6/28/2010,07-12-2010,14,Burnaby North,6,4,"2,226",9999,999,33,122,1,House/Single Family,2 Storey
"$520,000",S,310 WILLINGDON AVENUE,03-01-2010,4/16/2010,46,Burnaby North,7,4,"2,520",1981,29,122,26.51,3,House/Single Family,2 Storey w/Bsmt.
"$520,000",S,8438 11TH AVENUE,6/16/2010,6/20/2010,4,Burnaby East,3,2,"2,012",1957,53,50,,1,House/Single Family,2 Storey
"$520,000",S,7651 10TH AVENUE,9/16/2010,9/30/2010,14,Burnaby East,3,2,"2,332",1961,49,54,125,1,House/Single Family,2 Storey
"$521,500",S,9922 SULLIVAN STREET,01-06-2010,03-07-2010,60,Burnaby North,2,1,"1,050",1944,66,71,118,1,House/Single Family,Rancher/Bungalow
